,Unnamed: 0_x,GPS_lat_x,GPS_long_x,Network_lat_x,Network_long_x,Time,Anchor_Number_x,Type_x,Registered_x,CID_x,LAC_x,MCC_x,MNC_x,dBm_x,level_x,Unnamed: 0_y,GPS_lat_y,GPS_long_y,Network_lat_y,Network_long_y,Anchor_Number_y,Type_y,Registered_y,CID_y,LAC_y,MCC_y,MNC_y,dBm_y,level_y,spoofed
31,31,25.36886833333333,51.551335,0.0,0.0,1561285795795,7,GSM,True,17383,120,427,2,11,4,2.0,25.36886833333333,51.551335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
32,32,25.36886833333333,51.551335,0.0,0.0,1561285795795,8,GSM,False,17382,120,427,2,-3,4,2.0,25.36886833333333,51.551335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
33,33,25.36886833333333,51.551335,0.0,0.0,1561285795795,9,GSM,False,16573,120,427,2,-35,4,2.0,25.36886833333333,51.551335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
34,34,25.36886833333333,51.551335,0.0,0.0,1561285795795,10,GSM,False,17381,120,427,2,-37,4,2.0,25.36886833333333,51.551335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
35,35,25.36886833333333,51.551335,0.0,0.0,1561285795795,11,GSM,False,10022,120,427,2,-69,4,2.0,25.36886833333333,51.551335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
36,36,25.368815,51.551541666666665,0.0,0.0,1561285796884,0,GSM,True,40283,9402,427,1,-9,4,3.0,25.368815,51.551541666666665,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
37,37,25.368815,51.551541666666665,0.0,0.0,1561285796884,1,GSM,False,40282,9402,427,1,-25,4,3.0,25.368815,51.551541666666665,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
38,38,25.368815,51.551541666666665,0.0,0.0,1561285796884,2,GSM,False,40281,9402,427,1,-39,4,3.0,25.368815,51.551541666666665,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
39,39,25.368815,51.551541666666665,0.0,0.0,1561285796884,3,GSM,False,29173,9402,427,1,-67,4,3.0,25.368815,51.551541666666665,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
40,40,25.368815,51.551541666666665,0.0,0.0,1561285796884,4,GSM,False,25642,9402,427,1,-67,4,3.0,25.368815,51.551541666666665,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
41,41,25.368815,51.551541666666665,0.0,0.0,1561285796884,5,GSM,False,29171,9402,427,1,-77,4,3.0,25.368815,51.551541666666665,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
42,42,25.368815,51.551541666666665,0.0,0.0,1561285796884,6,GSM,False,49543,9402,427,1,-85,4,3.0,25.368815,51.551541666666665,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
43,43,25.368815,51.551541666666665,0.0,0.0,1561285796884,7,GSM,True,17383,120,427,2,11,4,3.0,25.368815,51.551541666666665,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
44,44,25.368815,51.551541666666665,0.0,0.0,1561285796884,8,GSM,False,17382,120,427,2,-3,4,3.0,25.368815,51.551541666666665,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
45,45,25.368815,51.551541666666665,0.0,0.0,1561285796884,9,GSM,False,16573,120,427,2,-35,4,3.0,25.368815,51.551541666666665,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
46,46,25.368815,51.551541666666665,0.0,0.0,1561285796884,10,GSM,False,17381,120,427,2,-37,4,3.0,25.368815,51.551541666666665,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
47,47,25.368815,51.551541666666665,0.0,0.0,1561285796884,11,GSM,False,10022,120,427,2,-69,4,3.0,25.368815,51.551541666666665,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
48,48,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,0,GSM,True,40283,9402,427,1,-9,4,4.0,25.36882666666667,51.551488333333324,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
49,49,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,1,GSM,False,40282,9402,427,1,-25,4,4.0,25.36882666666667,51.551488333333324,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
50,50,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,2,GSM,False,40281,9402,427,1,-39,4,4.0,25.36882666666667,51.551488333333324,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
51,51,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,3,GSM,False,29173,9402,427,1,-67,4,4.0,25.36882666666667,51.551488333333324,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
52,52,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,4,GSM,False,25642,9402,427,1,-67,4,4.0,25.36882666666667,51.551488333333324,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
53,53,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,5,GSM,False,29171,9402,427,1,-77,4,4.0,25.36882666666667,51.551488333333324,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
54,54,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,6,GSM,False,49543,9402,427,1,-85,4,4.0,25.36882666666667,51.551488333333324,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
55,55,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,7,GSM,True,17383,120,427,2,11,4,4.0,25.36882666666667,51.551488333333324,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
56,56,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,8,GSM,False,17382,120,427,2,-3,4,4.0,25.36882666666667,51.551488333333324,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
57,57,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,9,GSM,False,16573,120,427,2,-35,4,4.0,25.36882666666667,51.551488333333324,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
58,58,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,10,GSM,False,17381,120,427,2,-37,4,4.0,25.36882666666667,51.551488333333324,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
59,59,25.36882666666667,51.551488333333324,0.0,0.0,1561285797844,11,GSM,False,10022,120,427,2,-69,4,4.0,25.36882666666667,51.551488333333324,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-9.0,4.0,0.0
60,60,25.36882,51.551455,0.0,0.0,1561285798854,0,GSM,True,40283,9402,427,1,-1,4,5.0,25.36882,51.551455,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
61,61,25.36882,51.551455,0.0,0.0,1561285798854,1,GSM,False,40282,9402,427,1,-29,4,5.0,25.36882,51.551455,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
62,62,25.36882,51.551455,0.0,0.0,1561285798854,2,GSM,False,40281,9402,427,1,-45,4,5.0,25.36882,51.551455,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
63,63,25.36882,51.551455,0.0,0.0,1561285798854,3,GSM,False,25642,9402,427,1,-73,4,5.0,25.36882,51.551455,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
64,64,25.36882,51.551455,0.0,0.0,1561285798854,4,GSM,False,29173,9402,427,1,-75,4,5.0,25.36882,51.551455,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
65,65,25.36882,51.551455,0.0,0.0,1561285798854,5,GSM,False,29171,9402,427,1,-79,4,5.0,25.36882,51.551455,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
66,66,25.36882,51.551455,0.0,0.0,1561285798854,6,GSM,False,49543,9402,427,1,-85,4,5.0,25.36882,51.551455,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
67,67,25.36882,51.551455,0.0,0.0,1561285798854,7,GSM,True,17383,120,427,2,13,4,5.0,25.36882,51.551455,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
68,68,25.36882,51.551455,0.0,0.0,1561285798854,8,GSM,False,17382,120,427,2,-9,4,5.0,25.36882,51.551455,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
69,69,25.36882,51.551455,0.0,0.0,1561285798854,9,GSM,False,17381,120,427,2,-39,4,5.0,25.36882,51.551455,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
70,70,25.36882,51.551455,0.0,0.0,1561285798854,10,GSM,False,16573,120,427,2,-41,4,5.0,25.36882,51.551455,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
71,71,25.36882,51.551455,0.0,0.0,1561285798854,11,GSM,False,10022,120,427,2,-71,4,5.0,25.36882,51.551455,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
72,72,25.36879333333333,51.551480000000005,0.0,0.0,1561285799812,0,GSM,True,40283,9402,427,1,-1,4,6.0,25.36879333333333,51.551480000000005,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
73,73,25.36879333333333,51.551480000000005,0.0,0.0,1561285799812,1,GSM,False,40282,9402,427,1,-29,4,6.0,25.36879333333333,51.551480000000005,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
74,74,25.36879333333333,51.551480000000005,0.0,0.0,1561285799812,2,GSM,False,40281,9402,427,1,-45,4,6.0,25.36879333333333,51.551480000000005,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
75,75,25.36879333333333,51.551480000000005,0.0,0.0,1561285799812,3,GSM,False,25642,9402,427,1,-73,4,6.0,25.36879333333333,51.551480000000005,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
76,76,25.36879333333333,51.551480000000005,0.0,0.0,1561285799812,4,GSM,False,29173,9402,427,1,-75,4,6.0,25.36879333333333,51.551480000000005,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
77,77,25.36879333333333,51.551480000000005,0.0,0.0,1561285799812,5,GSM,False,29171,9402,427,1,-79,4,6.0,25.36879333333333,51.551480000000005,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
78,78,25.36879333333333,51.551480000000005,0.0,0.0,1561285799812,6,GSM,False,49543,9402,427,1,-85,4,6.0,25.36879333333333,51.551480000000005,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
79,79,25.36879333333333,51.551480000000005,0.0,0.0,1561285799812,7,GSM,True,17383,120,427,2,13,4,6.0,25.36879333333333,51.551480000000005,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
80,80,25.36879333333333,51.551480000000005,0.0,0.0,1561285799812,8,GSM,False,17382,120,427,2,-9,4,6.0,25.36879333333333,51.551480000000005,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
81,81,25.36879333333333,51.551480000000005,0.0,0.0,1561285799812,9,GSM,False,17381,120,427,2,-39,4,6.0,25.36879333333333,51.551480000000005,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
82,82,25.36879333333333,51.551480000000005,0.0,0.0,1561285799812,10,GSM,False,16573,120,427,2,-41,4,6.0,25.36879333333333,51.551480000000005,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
83,83,25.36879333333333,51.551480000000005,0.0,0.0,1561285799812,11,GSM,False,10022,120,427,2,-71,4,6.0,25.36879333333333,51.551480000000005,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
84,84,25.36877833333333,51.551498333333335,0.0,0.0,1561285800783,0,GSM,True,40283,9402,427,1,-1,4,7.0,25.36877833333333,51.551498333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
85,85,25.36877833333333,51.551498333333335,0.0,0.0,1561285800783,1,GSM,False,40282,9402,427,1,-29,4,7.0,25.36877833333333,51.551498333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
86,86,25.36877833333333,51.551498333333335,0.0,0.0,1561285800783,2,GSM,False,40281,9402,427,1,-45,4,7.0,25.36877833333333,51.551498333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
87,87,25.36877833333333,51.551498333333335,0.0,0.0,1561285800783,3,GSM,False,25642,9402,427,1,-73,4,7.0,25.36877833333333,51.551498333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
88,88,25.36877833333333,51.551498333333335,0.0,0.0,1561285800783,4,GSM,False,29173,9402,427,1,-75,4,7.0,25.36877833333333,51.551498333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
89,89,25.36877833333333,51.551498333333335,0.0,0.0,1561285800783,5,GSM,False,29171,9402,427,1,-79,4,7.0,25.36877833333333,51.551498333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
90,90,25.36877833333333,51.551498333333335,0.0,0.0,1561285800783,6,GSM,False,49543,9402,427,1,-85,4,7.0,25.36877833333333,51.551498333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
91,91,25.36877833333333,51.551498333333335,0.0,0.0,1561285800783,7,GSM,True,17383,120,427,2,13,4,7.0,25.36877833333333,51.551498333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
92,92,25.36877833333333,51.551498333333335,0.0,0.0,1561285800783,8,GSM,False,17382,120,427,2,-19,4,7.0,25.36877833333333,51.551498333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
93,93,25.36877833333333,51.551498333333335,0.0,0.0,1561285800783,9,GSM,False,17381,120,427,2,-41,4,7.0,25.36877833333333,51.551498333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
94,94,25.36877833333333,51.551498333333335,0.0,0.0,1561285800783,10,GSM,False,16573,120,427,2,-41,4,7.0,25.36877833333333,51.551498333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
95,95,25.36877833333333,51.551498333333335,0.0,0.0,1561285800783,11,GSM,False,10022,120,427,2,-71,4,7.0,25.36877833333333,51.551498333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
96,96,25.36876833333333,51.55144,0.0,0.0,1561285801800,0,GSM,True,40283,9402,427,1,-1,4,8.0,25.36876833333333,51.55144,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
97,97,25.36876833333333,51.55144,0.0,0.0,1561285801800,1,GSM,False,40282,9402,427,1,-29,4,8.0,25.36876833333333,51.55144,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
98,98,25.36876833333333,51.55144,0.0,0.0,1561285801800,2,GSM,False,40281,9402,427,1,-45,4,8.0,25.36876833333333,51.55144,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
99,99,25.36876833333333,51.55144,0.0,0.0,1561285801800,3,GSM,False,25642,9402,427,1,-73,4,8.0,25.36876833333333,51.55144,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
100,100,25.36876833333333,51.55144,0.0,0.0,1561285801800,4,GSM,False,29173,9402,427,1,-75,4,8.0,25.36876833333333,51.55144,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
101,101,25.36876833333333,51.55144,0.0,0.0,1561285801800,5,GSM,False,29171,9402,427,1,-79,4,8.0,25.36876833333333,51.55144,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
102,102,25.36876833333333,51.55144,0.0,0.0,1561285801800,6,GSM,False,49543,9402,427,1,-85,4,8.0,25.36876833333333,51.55144,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
103,103,25.36876833333333,51.55144,0.0,0.0,1561285801800,7,GSM,True,17383,120,427,2,13,4,8.0,25.36876833333333,51.55144,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
104,104,25.36876833333333,51.55144,0.0,0.0,1561285801800,8,GSM,False,17382,120,427,2,-19,4,8.0,25.36876833333333,51.55144,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
105,105,25.36876833333333,51.55144,0.0,0.0,1561285801800,9,GSM,False,17381,120,427,2,-41,4,8.0,25.36876833333333,51.55144,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
106,106,25.36876833333333,51.55144,0.0,0.0,1561285801800,10,GSM,False,16573,120,427,2,-41,4,8.0,25.36876833333333,51.55144,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
107,107,25.36876833333333,51.55144,0.0,0.0,1561285801800,11,GSM,False,10022,120,427,2,-71,4,8.0,25.36876833333333,51.55144,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-1.0,4.0,0.0
108,108,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,0,GSM,True,40283,9402,427,1,-7,4,9.0,25.368758333333336,51.551408333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-7.0,4.0,0.0
109,109,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,1,GSM,False,40282,9402,427,1,-29,4,9.0,25.368758333333336,51.551408333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-7.0,4.0,0.0
110,110,25.368758333333336,51.551408333333335,0.0,0.0,1561285802894,2,GSM,False,40281,9402,427,1,-51,4,9.0,25.368758333333336,51.551408333333335,0.0,0.0,0.0,GSM,True,40283.0,9402.0,427.0,1.0,-7.0,4.0,0.0
